_programs/tp-moto/out/tp-moto.elf:1a0006cc 00000044 t Board_LED_Init
_programs/tp-moto/out/tp-moto.elf:1a000710 00000040 t Board_TEC_Init
_programs/tp-moto/out/tp-moto.elf:1a000750 00000040 t Board_GPIO_Init
_programs/tp-moto/out/tp-moto.elf:1a000790 00000030 t Board_ADC_Init
_programs/tp-moto/out/tp-moto.elf:1a0007c0 00000038 t Board_SPI_Init
_programs/tp-moto/out/tp-moto.elf:1a0007f8 00000024 t Board_I2C_Init
_programs/tp-moto/out/tp-moto.elf:1a001cf0 00000008 t GpioButtons
_programs/tp-moto/out/tp-moto.elf:1a001cf8 0000000c t GpioLeds
_programs/tp-moto/out/tp-moto.elf:1a001d04 00000012 t GpioPorts
_programs/tp-moto/out/tp-moto.elf:1a001d1c 00000004 t InitClkStates
_programs/tp-moto/out/tp-moto.elf:1a001d20 00000074 t pinmuxing
_programs/tp-moto/out/tp-moto.elf:1a000928 0000002c t Chip_UART_GetIndex
_programs/tp-moto/out/tp-moto.elf:1a001d94 00000008 t UART_BClock
_programs/tp-moto/out/tp-moto.elf:1a001d9c 00000008 t UART_PClock
_programs/tp-moto/out/tp-moto.elf:1a000ad0 000000a4 t pll_calc_divs
_programs/tp-moto/out/tp-moto.elf:1a000b74 0000010c t pll_get_frac
_programs/tp-moto/out/tp-moto.elf:1a000c80 0000004c t Chip_Clock_FindBaseClock
_programs/tp-moto/out/tp-moto.elf:1a000ef4 00000022 t Chip_Clock_GetDivRate
_programs/tp-moto/out/tp-moto.elf:10000048 00000008 b audio_usb_pll_freq
_programs/tp-moto/out/tp-moto.elf:1a001db0 0000006c t periph_to_base
_programs/tp-moto/out/tp-moto.elf:1a001e1c 00000048 t InitClkStates
_programs/tp-moto/out/tp-moto.elf:1a0011c8 00000014 t Chip_ADC_GetClockIndex
_programs/tp-moto/out/tp-moto.elf:1a0011dc 00000032 t getClkDiv
_programs/tp-moto/out/tp-moto.elf:1a001290 00000014 t Chip_SSP_GetClockIndex
_programs/tp-moto/out/tp-moto.elf:1a0012a4 00000018 t Chip_SSP_GetPeriphClockIndex
_programs/tp-moto/out/tp-moto.elf:10000000 00000038 d i2c
_programs/tp-moto/out/tp-moto.elf:10000038 00000004 d ClockSpeed
_programs/tp-moto/out/tp-moto.elf:1a001e64 00000048 t lpcUarts
_programs/tp-moto/out/tp-moto.elf:10000050 00000004 b callBackFuncParams
_programs/tp-moto/out/tp-moto.elf:10000058 00000008 b tickCounter
_programs/tp-moto/out/tp-moto.elf:10000060 00000004 b tickHookFunction
_programs/tp-moto/out/tp-moto.elf:1a0015b0 00000034 t gpioObtainPinInit
_programs/tp-moto/out/tp-moto.elf:10000064 00000004 b g_hUsb
_programs/tp-moto/out/tp-moto.elf:1a001f98 t __init_array_end
_programs/tp-moto/out/tp-moto.elf:1a001f94 b __preinit_array_end
_programs/tp-moto/out/tp-moto.elf:1a001f94 t __init_array_start
_programs/tp-moto/out/tp-moto.elf:1a001f94 b __preinit_array_start
_programs/tp-moto/out/tp-moto.elf:1a000598 0000000e T initDelayCounter
_programs/tp-moto/out/tp-moto.elf:1a000d18 0000001c T Chip_Clock_GetDividerSource
